author_id,table_status,is_sab_stable_valid,retention_status,is_promote,is_aa_promote,gender_category,age_category,fans_num_all,anchor_type,live_game_days,acu,live_minute_cnt_1d,game_live_show_cnt_1d,game_live_show_ucnt_1d,game_watch_cnt_1d,game_watch_ucnt_1d,game_live_comment_cnt_1d,game_live_comment_ucnt_1d,game_live_share_cnt_1d,game_live_share_ucnt_1d,game_live_send_barrage_cnt_1d,game_live_send_barrage_ucnt_1d,game_live_dislike_cnt_1d,game_live_dislike_ucnt_1d,game_live_report_cnt_1d,game_live_report_ucnt_1d,game_new_follow_fans_ucnt_1d,game_unfollow_anchor_ucnt_1d,live_real_online_watch_ucnt_1mi,live_fake_online_watch_ucnt_1mi,live_popular_online_watch_ucnt_1mi,live_total_online_watch_ucnt_1mi
2682402524109175,新主播,0,0.0,0.0,0.0,male,41-50,138.0,0.0,12.0,0.0,12.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25
2761624746732072,新主播,0,0.0,0.0,0.0,male,18-23,25.0,0.0,2.0,0.0,19.5,140.5,102.5,74.0,70.5,4.5,1.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,9.5,0.0,0.71794873,0.0,0.0,0.71794873
3098880746460317,新主播,0,1.0,0.0,0.0, , ,0.0,1.0,4.0,15.4242935,145.66667,81247.0,72693.0,1692.3334,1484.3334,1500.3334,309.33334,3.0,2.3333333,0.0,0.0,94.66666666666667,94.66666666666667,1.3333333333333333,1.3333333333333333,22.333334,5.0,22.756819,0.0,0.0,22.756819
3737954278984215,新主播,0,1.0,0.0,0.0,male,24-30,1022.0,0.0,2.0,1.0537878,59.5,424.0,241.5,52.0,49.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2130177,0.0,0.0,3.2130177
4013636249454525,新主播,0,0.0,0.0,0.0,male,-18,504.0,0.0,6.0,0.0,15.5,7.5,1.5,3.5,1.5,6.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0967742,0.0,0.0,1.0967742
4354544128494835,新主播,0,1.0,0.0,0.0,male,-18,319.0,0.0,2.0,0.0,50.0,306.0,183.0,103.0,98.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,0.0,0.0,1.62
4407292991380189,新主播,0,0.0,1.0,1.0,female,18-23,65.0,0.0,10.0,1.0547541,58.333332,838.6666666666666,718.0,167.66667,162.66667,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.33333334,0.0,2.32,0.0,0.0,2.32
50710773747,新主播,0,0.0,0.0,0.0,female,-18,1129.0,0.0,9.0,0.78313977,76.333336,504.3333333333333,230.33333333333334,90.333336,80.0,9.0,3.3333333,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,1.5411255,0.0,0.0,1.5411255
53956547537,新主播,0,0.0,0.0,0.0,male,31-40,944.0,0.0,7.0,0.2584233,57.333332,243.0,172.0,68.0,65.333336,2.6666667,0.6666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5639535,0.0,0.0,1.5639535
61689779006,新主播,0,0.0,0.0,0.0,female,18-23,51.0,0.0,13.0,0.0,182.25,8887.75,7198.5,889.5,762.75,295.5,67.25,0.5,0.5,0.0,0.0,4.75,4.75,4.75,4.75,22.25,1.5,35.31687,0.0,0.0,35.31687
63845288133,新主播,0,0.0,0.0,0.0,male,18-23,299.0,0.0,8.0,32.04098,147.0,97.0,82.0,26.0,22.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.67094,0.0,0.0,29.67094
67387299951,新主播,0,0.0,0.0,0.0,female,24-30,79.0,0.0,10.0,0.0,19.0,17.0,17.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9473684,0.0,0.0,1.9473684
71146022748,新主播,0,0.0,0.0,0.0,male,31-40,139.0,0.0,11.0,0.0,18.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77715068688,新主播,0,0.0,0.0,0.0,male,24-30,60.0,1.0,5.0,1.0,25.0,110.0,100.0,93.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,0.0,0.0,2.55
92367084732,新主播,0,0.0,0.0,0.0,male,24-30,296.0,0.0,1.0,0.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92877009723,新主播,0,0.0,0.0,0.0,male,-18,49.0,0.0,3.0,0.8596491,69.0,300.0,158.0,60.0,54.0,61.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,1.2608696,0.0,0.0,1.2608696
96636644840,新主播,0,0.0,1.0,1.0,female,24-30,1347.0,0.0,7.0,1.0801886,108.0,227.5,166.25,103.5,95.0,1.25,0.5,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,2.0906281,0.0,0.0,2.0906281
96943526523,新主播,0,0.0,0.0,1.0,female,24-30,1156.0,0.0,4.0,5.2591205,5.3333335,31.666666666666668,20.666666666666668,10.333333,9.0,0.6666667,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.556054,0.0,0.0,9.556054
97877629523,新主播,0,1.0,1.0,0.0,male,-18,45.0,0.0,6.0,0.6949433,121.0,435.2,363.4,281.8,265.6,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.4,0.2,1.6595042,0.0,0.0,1.6595042
99217547677,新主播,0,1.0,0.0,0.0,female,50-,558.0,0.0,11.0,0.035416666,47.0,28.0,11.0,2.0,0.5,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08510638,0.0,0.0,0.08510638
102307002789,新主播,0,1.0,0.0,0.0,male,24-30,425.0,0.0,2.0,1.072432,169.5,690.5,580.0,478.5,451.0,5.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,6.0501475,0.0,0.0,6.0501475
103668491426,新主播,1,1.0,0.0,0.0,male,-18,1236.0,0.0,13.0,1.5831808,193.85715,1459.142857142857,987.1428571428571,312.57144,254.85715,49.57143,6.428571,0.71428573,0.5714286,0.0,0.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,5.857143,0.0,2.1974945,0.0,0.0,2.1974945
18050053844670,新主播,0,0.0,0.0,0.0,male,18-23,11.0,0.0,4.0,0.0,34.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.32353,0.0,0.0,67.32353
228298796308584,新主播,0,1.0,1.0,1.0,female,-18,117.0,0.0,4.0,3.7350283,40.333332,760.0,673.3333333333334,560.6667,535.6667,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,4.6859503,0.0,0.0,4.6859503
729675169279884,新主播,0,0.0,0.0,0.0,female,31-40,100.0,0.0,13.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1198922960212524,新主播,0,0.0,0.0,0.0,unknown,unknown,0.0,1.0,3.0,0.7535968,104.0,252.0,188.0,114.0,109.0,26.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9340836,0.0,0.0,0.9340836
1416648082341591,新主播,0,0.0,0.0,0.0,female,-18,351.0,0.0,14.0,0.0,17.0,79.5,29.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.32352942,0.0,0.0,0.32352942
1676074962128120,新主播,0,0.0,0.0,0.0,female,31-40,1358.0,0.0,3.0,0.0,14.0,53.0,36.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285715,0.0,0.0,0.14285715
2506494847746564,新主播,0,0.0,1.0,1.0,male,18-23,71.0,0.0,6.0,0.9859155,91.0,275.0,227.0,34.0,29.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.2197802,0.0,0.0,2.2197802
2704429430873300,新主播,0,0.0,0.0,0.0,female,-18,49.0,0.0,8.0,0.0,30.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5625,0.0,0.0,0.5625
3148594356423566,新主播,0,0.0,0.0,0.0,male,18-23,72.0,0.0,2.0,1.168421,98.0,430.0,196.0,167.0,139.0,6.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0612245,0.0,0.0,3.0612245
3570864604844828,新主播,0,0.0,1.0,0.0,male,24-30,718.0,0.0,12.0,0.88132066,94.0,654.6666666666666,539.3333333333334,417.66666,385.0,4.3333335,0.33333334,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.33333334,3.2234042,0.0,0.0,3.2234042
3672003838223891,新主播,0,0.0,0.0,0.0,male,-18,280.0,0.0,9.0,0.0,16.0,99.0,58.0,21.0,18.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.875
4037825264619064,新主播,1,0.0,0.0,0.0,male,24-30,5944.0,1.0,10.0,5.1233206,142.88889,1475.3333333333333,1030.7777777777778,270.66666,224.11111,81.333336,8.222222,0.11111111,0.11111111,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.7777778,0.6666667,7.3102646,0.0,0.0,7.3102646
4177737008559443,新主播,0,0.0,0.0,1.0,male,50-,243.0,0.0,10.0,0.30769232,164.0,466.0,277.0,26.0,20.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.64634144,0.0,0.0,0.64634144
4365518444170728,新主播,0,1.0,0.0,0.0, , ,0.0,0.0,3.0,5.4130874,261.33334,8394.0,6458.333333333333,647.3333,543.3333,254.33333,32.333332,2.0,1.6666666,0.0,0.0,2.3333333333333335,2.3333333333333335,5.333333333333333,4.666666666666667,50.0,0.6666667,8.114796,0.0,0.0,8.114796
52326609018,新主播,0,0.0,0.0,0.0,male,24-30,278.0,0.0,14.0,0.0,18.0,5.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111111,0.0,0.0,0.11111111
56368433795,新主播,0,0.0,1.0,0.0,male,24-30,368.0,0.0,4.0,0.0,9.0,21.5,13.5,4.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.44444445,0.0,0.0,0.44444445
58564395443,新主播,0,0.0,0.0,0.0,male,24-30,96.0,0.0,6.0,0.0,10.0,54.0,51.0,44.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6363636,0.0,0.0,1.6363636
73782641010,新主播,0,0.0,1.0,0.0,female,24-30,1129.0,0.0,2.0,0.46218488,150.0,91.0,49.0,27.0,20.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0,1.88
81825680064,新主播,0,0.0,0.0,0.0,male,24-30,22.0,0.0,7.0,2.147718,87.333336,314.0,213.0,50.0,44.333332,4.0,1.0,1.6666666,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333,0.0,3.2633588,0.0,0.0,3.2633588
95745961494,新主播,0,1.0,0.0,0.0,female,31-40,100.0,0.0,14.0,1.0909091,47.0,96.5,70.5,51.5,47.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9574468,0.0,0.0,0.9574468
96960162600,新主播,0,0.0,0.0,0.0,male,24-30,918.0,0.0,3.0,0.0,13.0,221.0,182.0,148.0,143.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.3846154,0.0,0.0,2.3846154
